epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
186,230.123,1.74541,0.55318,1.42225,0.34856,0.2379,0.20527,0.07466,0.87806,0.72359,0.39576,0.000327608,0.000327608,0.000327608
187,460.094,0.81406,0.96734,0.29402,0.23628,0.17205,0.11373,0.03572,0.99271,0.54109,0.45645,0.000322778,0.000322778,0.000322778
188,690.03,0.78359,0.83475,0.26589,0.25726,0.25363,0.17584,0.06448,0.87476,0.6234,0.38166,0.000317969,0.000317969,0.000317969
189,920.297,0.818,0.67358,0.26937,0.27643,0.30237,0.22257,0.08084,0.81819,0.6402,0.34614,0.00031318,0.00031318,0.00031318
190,1150.6,0.78066,0.64759,0.26326,0.31211,0.34001,0.26583,0.10611,0.7631,0.69161,0.32084,0.000308412,0.000308412,0.000308412
191,1380.6,0.75156,0.62638,0.25147,0.40246,0.36309,0.34147,0.15183,0.70915,0.72655,0.29766,0.000303665,0.000303665,0.000303665
192,1611.01,0.7654,0.61804,0.25933,0.50435,0.41063,0.41004,0.19163,0.67214,0.72138,0.2813,0.000298941,0.000298941,0.000298941
193,1841.86,0.76012,0.62008,0.25762,0.57417,0.46386,0.47136,0.23466,0.63904,0.73584,0.26109,0.000294239,0.000294239,0.000294239
194,2072.74,0.76122,0.60669,0.24586,0.64388,0.48125,0.49855,0.25908,0.6212,0.72536,0.25562,0.000289561,0.000289561,0.000289561
195,2304.17,0.76525,0.60347,0.25625,0.6926,0.51272,0.5484,0.29444,0.60114,0.72293,0.24851,0.000284906,0.000284906,0.000284906
196,2535.71,0.75982,0.60466,0.25577,0.7251,0.5421,0.57101,0.31733,0.59115,0.72609,0.2411,0.000280275,0.000280275,0.000280275
197,2767.12,0.74824,0.60764,0.25101,0.70782,0.56384,0.58224,0.33106,0.58303,0.72168,0.24143,0.000275668,0.000275668,0.000275668
198,2998.73,0.76067,0.59312,0.25151,0.74103,0.56041,0.58845,0.33993,0.57827,0.72582,0.24065,0.000271087,0.000271087,0.000271087
199,3230.38,0.72707,0.60292,0.2459,0.75546,0.56482,0.59634,0.3467,0.57669,0.70916,0.24081,0.000266532,0.000266532,0.000266532
200,3462.32,0.75087,0.59262,0.24347,0.75974,0.56654,0.60029,0.34919,0.57579,0.71019,0.24035,0.000262003,0.000262003,0.000262003
201,3693.99,0.73949,0.59524,0.25134,0.77024,0.57312,0.6065,0.35293,0.5769,0.69176,0.2397,0.0002575,0.0002575,0.0002575
202,3925.44,0.72693,0.59674,0.24498,0.76447,0.58057,0.61393,0.35631,0.57732,0.68572,0.23889,0.000253024,0.000253024,0.000253024
203,4156.76,0.73629,0.59578,0.25002,0.76086,0.589,0.61706,0.35992,0.57649,0.67839,0.23913,0.000248577,0.000248577,0.000248577
204,4387.79,0.72971,0.58498,0.23293,0.77312,0.58798,0.61834,0.36086,0.5752,0.6784,0.23742,0.000244157,0.000244157,0.000244157
205,4619.38,0.74154,0.58234,0.24051,0.76453,0.59042,0.61757,0.36039,0.57208,0.6769,0.23802,0.000239766,0.000239766,0.000239766
206,4850.88,0.73266,0.59284,0.24419,0.7668,0.5871,0.61559,0.35954,0.56994,0.67054,0.23778,0.000235404,0.000235404,0.000235404
207,5081.88,0.73545,0.58872,0.24273,0.77726,0.58851,0.61875,0.36414,0.5677,0.67179,0.23773,0.000231071,0.000231071,0.000231071
208,5312.99,0.71563,0.60148,0.24134,0.78186,0.59205,0.6207,0.3629,0.56667,0.67126,0.23687,0.000226769,0.000226769,0.000226769
209,5544.23,0.74265,0.58995,0.24404,0.77591,0.59536,0.623,0.3647,0.56826,0.66998,0.23359,0.000222497,0.000222497,0.000222497
